"","Date","Channel","Length","Cost","Impressions","Sales"
"170",2017-07-03 20:39:00,"6",15,1251,18200,92
"171",2017-07-03 20:46:00,"14",15,2028,36400,14
"172",2017-07-03 21:19:00,"7",15,2704,36400,17
"173",2017-07-03 21:26:00,"8",15,2704,36400,11
"174",2017-07-03 21:45:00,"2",15,4732,36400,26
"175",2017-07-03 21:48:00,"5",15,13047,109200,120
"176",2017-07-03 22:02:00,"14",15,1352,36400,8
"177",2017-07-03 22:18:00,"6",15,2704,36400,12
"178",2017-07-03 22:20:00,"7",15,4056,54600,45
"179",2017-07-03 22:44:00,"2",15,17745,218400,231
"180",2017-07-03 23:03:00,"8",15,25857,382200,75
"181",2017-07-03 23:48:00,"14",15,44210,382200,147
"182",2017-07-03 00:19:00,"15",15,3380,72800,2
"183",2017-07-03 00:29:00,"1",15,2704,36400,18
"184",2017-07-03 00:50:00,"3",15,3887,72800,23
"185",2017-07-03 00:57:00,"10",15,28662,254800,45
"186",2017-07-03 00:59:00,"4",15,676,18200,0
"187",2017-07-03 01:01:00,"15",15,4732,127400,11
"188",2017-07-04 01:40:00,"3",15,2332,36400,6
"189",2017-07-04 01:44:00,"15",15,2028,54600,24
"190",2017-07-04 02:01:00,"15",15,2028,54600,15
"191",2017-07-04 02:32:00,"3",15,4631,54600,35
"192",2017-07-04 02:59:00,"3",15,2332,72800,15
"193",2017-07-04 10:43:00,"8",15,6118,182000,33
"194",2017-07-04 11:25:00,"11",15,2873,163800,29
"195",2017-07-04 11:46:00,"11",15,6490,163800,33
"196",2017-07-04 11:55:00,"12",15,710,36400,6
"197",2017-07-04 11:59:00,"4",15,676,18200,14
"198",2017-07-04 12:23:00,"9",15,3042,36400,9
"199",2017-07-04 12:25:00,"12",30,2873,36400,3
"200",2017-07-04 12:40:00,"8",15,3819,54600,39
"201",2017-07-04 12:46:00,"11",15,3617,200200,45
"202",2017-07-04 12:49:00,"4",15,2028,36400,30
"203",2017-07-04 12:55:00,"12",15,2873,18200,8
"204",2017-07-04 13:13:00,"11",15,6490,145600,14
"205",2017-07-04 13:25:00,"12",15,2873,18200,2
"206",2017-07-04 13:30:00,"9",15,2298,72800,9
"207",2017-07-04 13:46:00,"11",15,1453,109200,50
"208",2017-07-04 14:39:00,"8",15,6118,145600,20
"209",2017-07-04 14:47:00,"9",15,2298,127400,6
"210",2017-07-04 15:22:00,"9",15,2298,72800,20
"211",2017-07-04 15:38:00,"8",15,6118,182000,50
"212",2017-07-04 16:04:00,"9",15,777,18200,3
"213",2017-07-04 16:12:00,"4",15,1352,72800,14
"214",2017-07-04 16:31:00,"1",15,1352,36400,21
"215",2017-07-04 16:51:00,"4",15,1352,18200,8
"216",2017-07-04 17:16:00,"11",15,710,72800,17
"217",2017-07-04 17:28:00,"9",15,777,36400,14
"218",2017-07-04 17:32:00,"4",15,2028,36400,3
"219",2017-07-04 18:29:00,"4",15,2704,36400,21
"220",2017-07-04 18:29:00,"9",15,1521,18200,12
"221",2017-07-04 18:59:00,"10",15,2636,54600,6
"222",2017-07-04 19:21:00,"12",15,1453,18200,9
"223",2017-07-04 19:21:00,"13",15,6152,182000,38
"224",2017-07-04 19:27:00,"10",15,4394,91000,20
"225",2017-07-04 19:27:00,"8",15,27446,1164800,123
"226",2017-07-04 19:33:00,"3",15,777,36400,26
"227",2017-07-04 20:07:00,"7",15,2028,18200,8
"228",2017-07-04 20:16:00,"4",15,3380,91000,30
"229",2017-07-04 20:26:00,"3",15,3887,91000,42
"230",2017-07-04 20:36:00,"15",15,1352,18200,6
"231",2017-07-04 20:46:00,"11",15,41811,746200,230
"232",2017-07-04 20:51:00,"3",15,3110,36400,23
"233",2017-07-04 21:13:00,"15",15,676,36400,8
"234",2017-07-04 21:41:00,"10",15,15649,145600,38
"235",2017-07-04 21:43:00,"3",15,777,36400,32
"236",2017-07-04 21:47:00,"16",15,20855,163800,74
"237",2017-07-04 21:49:00,"13",15,28662,345800,128
"238",2017-07-04 21:54:00,"15",15,1352,36400,12
"239",2017-07-04 22:16:00,"12",15,17745,127400,114
"240",2017-07-04 22:22:00,"4",15,2028,18200,26
"241",2017-07-04 22:50:00,"8",15,41980,964600,189
"242",2017-07-04 23:05:00,"3",15,777,36400,5
"243",2017-07-04 23:11:00,"4",15,2028,72800,9
"244",2017-07-04 23:42:00,"16",15,47185,436800,116
"245",2017-07-04 00:19:00,"3",15,4631,127400,41
"246",2017-07-04 00:44:00,"15",15,676,54600,8
"247",2017-07-04 00:44:00,"4",15,676,18200,8
"248",2017-07-04 00:52:00,"3",15,4631,109200,26
"249",2017-07-04 00:58:00,"15",15,1352,36400,20
"250",2017-07-04 00:58:00,"4",15,676,18200,11
"251",2017-07-04 01:20:00,"15",15,676,54600,18
"252",2017-07-05 02:00:00,"15",15,1352,54600,2
"253",2017-07-05 02:08:00,"3",15,1555,54600,26
"254",2017-07-05 02:33:00,"3",15,1555,36400,15
"255",2017-07-05 03:01:00,"3",15,777,36400,29
"256",2017-07-05 08:07:00,"4",15,676,36400,5
"257",2017-07-05 08:40:00,"2",15,1352,18200,3
"258",2017-07-05 08:47:00,"4",15,1352,18200,3
"259",2017-07-05 09:19:00,"4",15,1352,36400,5
"260",2017-07-05 09:22:00,"2",15,1352,18200,5
"261",2017-07-05 10:13:00,"4",15,1352,18200,9
"262",2017-07-05 10:13:00,"2",15,1352,18200,9
"263",2017-07-05 10:45:00,"11",15,2873,145600,33
"264",2017-07-05 11:14:00,"11",15,2873,127400,45
"265",2017-07-05 11:42:00,"11",15,2163,91000,83
"266",2017-07-05 12:01:00,"9",15,1521,54600,11
"267",2017-07-05 12:27:00,"8",15,777,36400,3
"268",2017-07-05 12:39:00,"8",15,6118,72800,8
"269",2017-07-05 12:48:00,"11",15,8653,109200,72
"270",2017-07-05 13:14:00,"4",15,676,18200,14
"271",2017-07-05 13:43:00,"4",15,676,36400,30
"272",2017-07-05 14:17:00,"11",15,2163,109200,45
"273",2017-07-05 14:37:00,"8",15,7639,109200,27
"274",2017-07-05 14:55:00,"11",15,5036,72800,27
"275",2017-07-05 15:02:00,"13",15,5273,36400,5
"276",2017-07-05 15:25:00,"11",15,3617,54600,27
"277",2017-07-05 15:39:00,"8",15,6861,218400,41
"278",2017-07-05 15:53:00,"11",15,4326,54600,15
"279",2017-07-05 16:36:00,"13",15,879,54600,21
"280",2017-07-05 16:51:00,"11",15,710,36400,3
"281",2017-07-05 16:51:00,"10",15,2636,36400,14
"282",2017-07-05 17:19:00,"11",15,1453,54600,47
"283",2017-07-05 17:36:00,"3",15,777,18200,20
"284",2017-07-05 17:47:00,"4",15,676,36400,47
"285",2017-07-05 18:00:00,"13",15,2636,145600,18
"286",2017-07-05 18:05:00,"3",15,777,36400,32
"287",2017-07-05 18:23:00,"13",15,2636,163800,11
"288",2017-07-05 18:46:00,"11",15,5780,145600,27
"289",2017-07-05 18:53:00,"4",15,2028,54600,20
"290",2017-07-05 18:53:00,"3",15,777,18200,8
"291",2017-07-05 19:11:00,"11",15,10816,182000,53
"292",2017-07-05 19:11:00,"12",15,1453,36400,8
"293",2017-07-05 19:17:00,"3",15,777,36400,2
"294",2017-07-05 19:23:00,"8",15,27446,928200,74
"295",2017-07-05 19:25:00,"4",15,2704,109200,89
"296",2017-07-05 19:56:00,"3",15,1555,54600,17
"297",2017-07-05 20:19:00,"4",15,1352,109200,20
"298",2017-07-05 20:19:00,"15",15,1352,18200,20
"299",2017-07-05 20:26:00,"3",15,1555,72800,32
"300",2017-07-05 20:52:00,"3",15,3887,72800,21
